id,code,name
1161946,1161946,"NUTRITION ENTERALE, FRESENIUS, NUTRIMENT STANDARD, FRESUBIN 1200 COMPLETE"
3149642,3149642,"ACCES VASCULAIRE, RESERVOIR SANS SEPTUM ET CATHETER (S)"
3112917,3112917,"ACCESSOIRE DE FIXATION, VIS POUR IMPLANT ARTICULAIRE"
3163659,3163659,"ACCESSOIRE POUR IMPLANT ARTICULAIRE, CIMENT AVEC ANTIBIOTIQUE (UNE DOSE)"
3133262,3133262,"ACCESSOIRE POUR IMPLANT ARTICULAIRE, CIMENT SANS ANTIBIOTIQUE (UNE DOSE)"
3181203,3181203,"ACCESSOIRE POUR IMPLANT ARTICULAIRE, OBTURATEUR A CIMENT CENTRO-MEDULLAIRE"
1279027,1279027,"ACCESSOIRES DE SIEGE POUR CHASSIS A ROULETTES, PIED SUPPORT TELESCOPIQUE"
1201114,1201114,"ACCESSOIRES DE SIEGE POUR CHASSIS A ROULETTES, REPOSE-PIEDS REGLABLE"
1203248,1203248,"ACCESSOIRES DE SIEGE POUR CHASSIS A ROULETTES, TABLETTE AMOVIBLE"
2499156,2499156,"AERATEUR TRANSTYMPANIQUE, STERILE, NON REUTILISABLE, D'UTILISATION BREVE"
2494897,2494897,"AERATEUR TRANSTYMPANIQUE, STERILE, NON REUTILISABLE, D'UTILISATION PROLONGEE"
3178460,3178460,"AGRAFAGE, FIXATION D'IMPLANT, A TETE ARTICULEE, CHIRURGIE ENDOSCOPIQUE"
3130453,3130453,"AGRAFAGE, FIXATION D'IMPLANT, CHIRURGIE CONVENTIONNELLE"
3199440,3199440,"AGRAFAGE, FIXATION D'IMPLANT, CHIRURGIE ENDOSCOPIQUE"
3191845,3191845,"AGRAFAGE, SUTURE & ANASTOMOSE LINEAIRES, CHIRURGIE CONVENTIONNELLE"
3177590,3177590,"AGRAFAGE, SUTURE & ANASTOMOSE LINEAIRES, CHIRURGIE ENDOSCOPIQUE"
3110657,3110657,"AGRAFAGE, SUTURE CIRCULAIRE, CHIRURGIE CONVENTIONNELLE"
3130950,3130950,"AGRAFAGE, SUTURE CIRCULAIRE, CHIRURGIE ENDOSCOPIQUE"
3146520,3146520,"AGRAFAGE, TETE ARTICULEE, SUTURE ET ANASTOMOSE LINEAIRES"
1180837,1180837,AIGUILLE SERTIE POUR SUTURE
1158559,1158559,"ALIMENT SANS GLUTEN, BISCUITS, 100 G"
1101909,1101909,"ALIMENT SANS GLUTEN, FARINE, 100 G"
1162680,1162680,"ALIMENT SANS GLUTEN, PAIN, 100 G"
1185119,1185119,"ALIMENT SANS GLUTEN, PATES, 100 G"
3171200,3171200,"ANNEAU VALVULAIRE CARDIAQUE INCOMPLET SEMI-RIGIDE, AVEC ARMATURE"
3136823,3136823,"ANNEAU VALVULAIRE CARDIAQUE RIGIDE OU SEMI-RIGIDE, AVEC ARMATURE"
3106437,3106437,"ANNEAU VALVULAIRE CARDIAQUE SOUPLE, SANS ARMATURE"
1199185,1199185,APPAREIL DE PHOTOTHERAPIE POUR MALADE DE TAILLE < A UN METRE
1113373,1113373,APPAREIL DE PHOTOTHERAPIE POUR MALADE DE TAILLE > OU = A 1 METRE
1101559,1101559,"APPAREIL DE REEDUCATION PAR POULIE-THERAPIE, LOCATION HEBDOMADAIRE D'UN ENSEMBLE"
1211489,1211489,APPAREIL DE SOUTIEN PARTIEL DE LA TETE
1290916,1290916,"APPAREIL DE SOUTIEN PARTIEL DE LA TETE, REMPLACEMENT DU SERRE-TETE"
1207507,1207507,"APPAREIL MODULAIRE DE VERTICALISATION, APPUI FRONTAL, ACHAT"
1238152,1238152,"APPAREIL MODULAIRE DE VERTICALISATION, JEU DE ROULETTES, ACHAT"
1266846,1266846,"APPAREIL MODULAIRE DE VERTICALISATION, MODELE ENFANT ET ADULTE"
2646692,2646692,APPAREIL PODO-JAMBIER SPECIAL SUR MOULAGE
2681257,2681257,"APPAREIL PODO-JAMBIER SPECIAL, MOULAGE, QUELLE QUE SOIT LA HAUTEUR"
2607841,2607841,"APPAREIL SPECIAL SUR MOULAGE, FORFAIT REPARATIONS"
3198356,3198356,ARMATURE VALVULAIRE CARDIAQUE POUR AUTOGREFFE
1102375,1102375,"ASPIRATEUR TRACHEAL, FORFAIT DE LIVRAISON A DOMICILE"
1149514,1149514,"ASPIRATEUR TRACHEAL, LOCATION HEBDOMADAIRE < OU = 65 SEMAINES"
1106485,1106485,"ASPIRATEUR TRACHEAL, LOCATION HEBDOMADAIRE > 65 SEMAINES"
2375951,2375951,"AUDIOPROTHESE, < 20 ANS OU CECITE, A.P.I, API N 002"
2336483,2336483,"AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX A 12 +"
2379529,2379529,"AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX A 18 +"
2348724,2348724,"AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX A 9 +"
2345803,2345803,"AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX A3"
2341550,2341550,"AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX A4"
2317936,2317936,"AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX C 18"
2344548,2344548,"AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX C 18 +"
2306915,2306915,"AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX C 19"
2383011,2383011,"AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX C 19 +"
2331913,2331913,"AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX C 8"
2346228,2346228,"AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX C 8 +"
2354216,2354216,"AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX C 9"
2339866,2339866,"AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX C 9 +"
2372177,2372177,"AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX CIC+"
2379200,2379200,"AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX CX"
2381087,2381087,"AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX CX AVEC BT"
2396835,2396835,"AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX CX+"
